system,subtype,samples,failure_rate,mean_confidence
baseline,uppercase_formatting_like,4930,0.6576064908722109,0.7159443007028398
baseline,capitalized_name_like,2121,0.6096181046676096,0.7475551855209808
baseline,entity_like,522,0.6762452107279694,0.7145772348199234
finetuned,uppercase_formatting_like,4507,0.31462169957843356,0.8389290365331706
finetuned,capitalized_name_like,1482,0.24021592442645073,0.8466239974493927
finetuned,entity_like,498,0.3232931726907631,0.8531656041686747
