experiment,model,n_features,roc_auc,pr_auc,brier,f1,precision,recall
B_intent,RandomForest,3,0.912015524296226,0.7885379377312851,0.0868195328815582,0.697495183044316,0.7494824016563147,0.6522522522522523
C_combined,RandomForest,12,0.8746584303601849,0.6884171030999413,0.10454643055022801,0.5993820803295572,0.6995192307692307,0.5243243243243243
B_intent,LogisticRegression,3,0.8128290571273027,0.6246767027113467,0.15827378243161705,0.5897009966777409,0.5469953775038521,0.6396396396396397
C_combined,LogisticRegression,12,0.8025279665630543,0.6194629372903552,0.15846001979570598,0.5942028985507246,0.537117903930131,0.6648648648648648
A_asr,LogisticRegression,9,0.6162706566215339,0.30218162515270325,0.23853133496194995,0.3670103092783505,0.2966666666666667,0.4810810810810811
A_asr,RandomForest,9,0.6149913070965702,0.3114519222027558,0.16537177257810168,0.12121212121212122,0.38095238095238093,0.07207207207207207
