experiment,model,n_features,roc_auc,pr_auc,f1,precision,recall,brier
B_intent_confidence,RandomForest,3,0.9106080328324438,0.7879681610163005,0.6933645133002047,0.7554140127388536,0.6407347379794706,0.08803687309714861
C_voxintel_r_combined,RandomForest,12,0.8826146732191851,0.7074906121373641,0.5963566634707574,0.7300469483568075,0.5040518638573744,0.10250023531819112
C_voxintel_r_combined,LogisticRegression,12,0.8163262516290622,0.6303699148599866,0.5989672977624785,0.5496389891696751,0.6580226904376013,0.15799376059393405
B_intent_confidence,LogisticRegression,3,0.8161771044781521,0.6262098506398792,0.5914649363613677,0.5496289424860853,0.640194489465154,0.16002614354336536
A_asr_confidence,LogisticRegression,9,0.6264737417650031,0.31672356921741557,0.37573715248525696,0.3079047290300311,0.48190167477039436,0.23644374453029626
A_asr_confidence,RandomForest,9,0.6175101757866099,0.3123818791311006,0.1622590766472434,0.4763157894736842,0.097784981091302,0.1649744603028443
