intent,n_samples,baseline_failure_rate,finetuned_failure_rate,baseline_mean_edits,finetuned_mean_edits,recovery_rate
hue_lightoff,9,1.0,1.0,0.0,0.0,0.0
factoid,14,1.0,1.0,0.0,0.0,0.0
music_dislikeness,5,1.0,1.0,0.0,0.0,0.0
music,39,1.0,1.0,0.0,0.0,0.0
podcasts,6,1.0,1.0,0.0,0.0,0.0
cooking_query,14,1.0,1.0,0.0,0.0,0.0
cleaning,8,1.0,1.0,0.0,0.0,0.0
general_greet,17,1.0,1.0,0.0,0.0,0.0
query,87,1.0,1.0,0.0,0.0,0.0
quirky,26,1.0,1.0,0.0,0.0,0.0
iot_hue_lighton,11,1.0,0.7272727272727273,0.0,0.0,0.2727272727272727
social_query,83,0.9156626506024096,0.6987951807228916,0.0,0.0,0.216867469879518
alarm_remove,87,0.8620689655172413,0.42528735632183906,0.0,0.0,0.43678160919540227
email_query,282,0.851063829787234,0.1347517730496454,0.0,0.0,0.7163120567375887
play_podcasts,119,0.7899159663865546,0.21008403361344538,0.0,0.0,0.5798319327731092
music_settings,22,0.7727272727272727,0.6818181818181818,0.0,0.0,0.09090909090909094
calendar_remove,209,0.7703349282296651,0.14354066985645933,0.0,0.0,0.6267942583732058
iot_wemo_on,13,0.7692307692307693,0.0,0.0,0.0,0.7692307692307693
music_likeness,65,0.7692307692307693,0.38461538461538464,0.0,0.0,0.38461538461538464
iot_hue_lightoff,55,0.7636363636363637,0.8727272727272727,0.0,0.0,-0.10909090909090902
iot_hue_lightdim,79,0.759493670886076,0.26582278481012656,0.0,0.0,0.49367088607594944
email_addcontact,20,0.75,0.1,0.0,0.0,0.65
audio_volume_mute,89,0.7415730337078652,0.19101123595505617,0.0,0.0,0.550561797752809
iot_cleaning,80,0.7375,0.4375,0.0,0.0,0.30000000000000004
iot_wemo_off,26,0.7307692307692307,1.0,0.0,0.0,-0.2692307692307693
qa_maths,54,0.7222222222222222,0.5185185185185185,0.0,0.0,0.20370370370370372
transport_taxi,97,0.7216494845360825,0.08247422680412371,0.0,0.0,0.6391752577319587
music_query,160,0.70625,0.30625,0.0,0.0,0.4
lists_remove,123,0.6991869918699187,0.21138211382113822,0.0,0.0,0.4878048780487805
lists_query,195,0.6974358974358974,0.11794871794871795,0.0,0.0,0.5794871794871794
alarm_query,122,0.6967213114754098,0.26229508196721313,0.0,0.0,0.4344262295081967
qa_stock,100,0.68,0.15,0.0,0.0,0.53
recommendation_events,112,0.6696428571428571,0.4017857142857143,0.0,0.0,0.2678571428571428
audio_volume_up,101,0.6633663366336634,0.1485148514851485,0.0,0.0,0.5148514851485149
qa_factoid,332,0.6596385542168675,0.47289156626506024,0.0,0.0,0.18674698795180722
transport_traffic,87,0.6551724137931034,0.9770114942528736,0.0,0.0,-0.32183908045977017
lists_createoradd,106,0.6509433962264151,0.16037735849056603,0.0,0.0,0.49056603773584906
play_radio,235,0.6468085106382979,0.13617021276595745,0.0,0.0,0.5106382978723405
audio_volume_down,95,0.6421052631578947,0.11578947368421053,0.0,0.0,0.5263157894736842
takeaway_order,77,0.6363636363636364,0.2077922077922078,0.0,0.0,0.42857142857142855
recommendation_movies,35,0.6285714285714286,0.2857142857142857,0.0,0.0,0.34285714285714286
social_post,185,0.6162162162162163,0.3675675675675676,0.0,0.0,0.24864864864864866
recommendation_locations,101,0.6138613861386139,0.26732673267326734,0.0,0.0,0.3465346534653465
calendar_query,454,0.6101321585903083,0.2511013215859031,0.0,0.0,0.35903083700440525
news_query,306,0.6013071895424836,0.3006535947712418,0.0,0.0,0.3006535947712418
play_game,79,0.5949367088607594,0.24050632911392406,0.0,0.0,0.3544303797468354
transport_ticket,101,0.594059405940594,0.04950495049504951,0.0,0.0,0.5445544554455445
qa_currency,108,0.5925925925925926,0.25,0.0,0.0,0.34259259259259256
datetime_convert,46,0.5869565217391305,0.08695652173913043,0.0,0.0,0.5
email_sendemail,226,0.5796460176991151,0.084070796460177,0.0,0.0,0.49557522123893805
takeaway_query,109,0.5779816513761468,0.23853211009174313,0.0,0.0,0.33944954128440363
weather_query,474,0.5717299578059072,0.15822784810126583,0.0,0.0,0.41350210970464135
email_querycontact,60,0.5666666666666667,0.4666666666666667,0.0,0.0,0.09999999999999998
alarm_set,155,0.5548387096774193,0.07096774193548387,0.0,0.0,0.48387096774193544
iot_hue_lightchange,84,0.5357142857142857,0.11904761904761904,0.0,0.0,0.41666666666666663
iot_hue_lightup,49,0.5306122448979592,0.0,0.0,0.0,0.5306122448979592
play_music,503,0.5228628230616302,0.12922465208747516,0.0,0.0,0.3936381709741551
datetime_query,308,0.5194805194805194,0.1396103896103896,0.0,0.0,0.3798701298701298
play_audiobook,279,0.5125448028673835,0.18996415770609318,0.0,0.0,0.32258064516129026
cooking_recipe,183,0.4808743169398907,0.39344262295081966,0.0,0.0,0.08743169398907102
transport_query,146,0.4452054794520548,0.1232876712328767,0.0,0.0,0.3219178082191781
calendar_set,463,0.4427645788336933,0.12311015118790497,0.0,0.0,0.31965442764578833
general_quirky,438,0.4383561643835616,0.4885844748858447,0.0,0.0,-0.0502283105022831
qa_definition,201,0.43781094527363185,0.21890547263681592,0.0,0.0,0.21890547263681592
iot_coffee,68,0.4264705882352941,0.36764705882352944,0.0,0.0,0.05882352941176466
general_joke,58,0.41379310344827586,0.08620689655172414,0.0,0.0,0.3275862068965517
