baseline_primary_error_type,samples,mean_baseline_confidence,mean_finetuned_confidence
proper_noun_error,1722,0.6622342384268293,0.6816933230551684
no_error,102,0.7560062412745098,0.7694411643137254
number_error,86,0.6334614182558139,0.6463144390697675
deletion,2,0.7531602749999999,0.7816792850000001
entity_error,2,0.41835495,0.6043203
