intent,n_samples,baseline_failure_rate,finetuned_failure_rate,baseline_mean_edits,finetuned_mean_edits,recovery_rate
query,87,1.0,1.0,3.0114942528735638,1.0689655172413792,0.0
music,39,1.0,1.0,2.333333333333333,0.4871794871794871,0.0
quirky,26,1.0,1.0,2.076923076923077,0.7307692307692307,0.0
general_greet,17,1.0,1.0,2.0588235294117645,0.8235294117647058,0.0
cooking_query,14,1.0,1.0,1.2142857142857142,1.3571428571428572,0.0
factoid,14,1.0,1.0,2.7142857142857144,1.2857142857142858,0.0
iot_hue_lighton,11,1.0,0.7272727272727273,4.454545454545454,3.090909090909091,0.2727272727272727
hue_lightoff,9,1.0,1.0,3.4444444444444446,1.1111111111111112,0.0
cleaning,8,1.0,1.0,5.125,1.625,0.0
podcasts,6,1.0,1.0,2.833333333333333,0.8333333333333334,0.0
music_dislikeness,5,1.0,1.0,2.6,1.4,0.0
set,3,1.0,1.0,2.6666666666666665,1.0,0.0
post,2,1.0,1.0,3.5,2.0,0.0
greet,2,1.0,1.0,0.5,0.0,0.0
hue_lightup,1,1.0,1.0,4.0,1.0,0.0
social_query,83,0.9156626506024096,0.6987951807228916,4.626506024096385,2.6626506024096384,0.216867469879518
alarm_remove,87,0.8620689655172413,0.425287356321839,3.724137931034482,1.3793103448275863,0.4367816091954022
email_query,282,0.851063829787234,0.1347517730496454,4.99645390070922,1.7624113475177303,0.7163120567375887
play_podcasts,119,0.7899159663865546,0.2100840336134453,3.201680672268908,1.2352941176470589,0.5798319327731092
music_settings,22,0.7727272727272727,0.6818181818181818,2.772727272727273,1.818181818181818,0.0909090909090909
calendar_remove,209,0.7703349282296651,0.1435406698564593,4.07177033492823,1.430622009569378,0.6267942583732058
music_likeness,65,0.7692307692307693,0.3846153846153846,3.230769230769231,1.1538461538461535,0.3846153846153846
iot_wemo_on,13,0.7692307692307693,0.0,5.076923076923077,1.1538461538461535,0.7692307692307693
iot_hue_lightoff,55,0.7636363636363637,0.8727272727272727,3.8545454545454554,2.290909090909091,-0.109090909090909
iot_hue_lightdim,79,0.759493670886076,0.2658227848101265,2.9746835443037973,1.2784810126582278,0.4936708860759494
email_addcontact,20,0.75,0.1,3.55,1.1,0.65
audio_volume_mute,89,0.7415730337078652,0.1910112359550561,2.393258426966292,0.8651685393258427,0.550561797752809
iot_cleaning,80,0.7375,0.4375,4.6,2.9875,0.3
iot_wemo_off,26,0.7307692307692307,1.0,3.4615384615384617,1.7307692307692308,-0.2692307692307693
qa_maths,54,0.7222222222222222,0.5185185185185185,2.574074074074074,1.2037037037037035,0.2037037037037037
transport_taxi,97,0.7216494845360825,0.0824742268041237,4.206185567010309,1.690721649484536,0.6391752577319587
music_query,160,0.70625,0.30625,3.3875,1.68125,0.4
lists_remove,123,0.6991869918699187,0.2113821138211382,4.121951219512195,1.6829268292682926,0.4878048780487805
lists_query,195,0.6974358974358974,0.1179487179487179,3.753846153846154,1.3384615384615384,0.5794871794871794
alarm_query,122,0.6967213114754098,0.2622950819672131,3.6885245901639343,1.139344262295082,0.4344262295081967
qa_stock,100,0.68,0.15,4.43,1.83,0.53
recommendation_events,112,0.6696428571428571,0.4017857142857143,3.75,2.0892857142857144,0.2678571428571428
audio_volume_up,101,0.6633663366336634,0.1485148514851485,2.782178217821782,0.4356435643564356,0.5148514851485149
qa_factoid,332,0.6596385542168675,0.4728915662650602,3.8855421686746983,2.27710843373494,0.1867469879518072
transport_traffic,87,0.6551724137931034,0.9770114942528736,3.5632183908045976,2.35632183908046,-0.3218390804597701
lists_createoradd,106,0.6509433962264151,0.160377358490566,3.990566037735849,1.1037735849056605,0.490566037735849
play_radio,235,0.6468085106382979,0.1361702127659574,3.3148936170212764,1.3148936170212766,0.5106382978723405
audio_volume_down,95,0.6421052631578947,0.1157894736842105,2.568421052631579,0.5578947368421052,0.5263157894736842
takeaway_order,77,0.6363636363636364,0.2077922077922078,5.025974025974026,3.0779220779220777,0.4285714285714285
recommendation_movies,35,0.6285714285714286,0.2857142857142857,5.428571428571429,2.571428571428572,0.3428571428571428
social_post,185,0.6162162162162163,0.3675675675675676,5.4324324324324325,3.3567567567567567,0.2486486486486486
recommendation_locations,101,0.6138613861386139,0.2673267326732673,4.188118811881188,2.217821782178218,0.3465346534653465
calendar_query,454,0.6101321585903083,0.2511013215859031,4.0176211453744495,1.7555066079295154,0.3590308370044052
news_query,306,0.6013071895424836,0.3006535947712418,4.4869281045751634,2.241830065359477,0.3006535947712418
play_game,79,0.5949367088607594,0.240506329113924,2.949367088607595,1.3291139240506329,0.3544303797468354
transport_ticket,101,0.594059405940594,0.0495049504950495,4.7227722772277225,2.0,0.5445544554455445
qa_currency,108,0.5925925925925926,0.25,5.231481481481482,3.203703703703704,0.3425925925925925
datetime_convert,46,0.5869565217391305,0.0869565217391304,5.217391304347826,1.6956521739130437,0.5
email_sendemail,226,0.5796460176991151,0.084070796460177,4.933628318584071,2.230088495575221,0.495575221238938
takeaway_query,109,0.5779816513761468,0.2385321100917431,4.192660550458716,2.036697247706422,0.3394495412844036
weather_query,474,0.5717299578059072,0.1582278481012658,4.219409282700422,2.0274261603375527,0.4135021097046413
email_querycontact,60,0.5666666666666667,0.4666666666666667,3.783333333333333,2.0166666666666666,0.0999999999999999
alarm_set,155,0.5548387096774193,0.0709677419354838,4.135483870967742,1.0064516129032255,0.4838709677419354
iot_hue_lightchange,84,0.5357142857142857,0.119047619047619,3.345238095238096,1.5952380952380951,0.4166666666666666
iot_hue_lightup,49,0.5306122448979592,0.0,2.979591836734694,1.4285714285714286,0.5306122448979592
play_music,503,0.5228628230616302,0.1292246520874751,3.262425447316103,1.4353876739562623,0.3936381709741551
datetime_query,308,0.5194805194805194,0.1396103896103896,3.487012987012987,1.5551948051948052,0.3798701298701298
play_audiobook,279,0.5125448028673835,0.1899641577060931,3.78494623655914,2.050179211469534,0.3225806451612902
cooking_recipe,183,0.4808743169398907,0.3934426229508196,3.442622950819672,2.300546448087432,0.087431693989071
