model_name,target,n_train,n_test,roc_auc,pr_auc,f1,precision,recall,brier
logreg_combined_full,baseline_intent_failed,6950,1738,0.8408386363350351,0.880965555559377,0.8246663598711459,0.8115942028985508,0.8381665107577175,0.15454417463652056
logreg_combined_no_interaction,baseline_intent_failed,6950,1738,0.8408274500427176,0.8809487955715775,0.8246663598711459,0.8115942028985508,0.8381665107577175,0.15455048988496273
rf_combined_full,baseline_intent_failed,6950,1738,0.8407505442830356,0.8735976536083896,0.8234217749313815,0.8057296329453895,0.8419083255378859,0.15910718578186933
rf_combined_no_interaction,baseline_intent_failed,6950,1738,0.8406191053483061,0.8741257480624183,0.8201834862385321,0.8046804680468047,0.8362956033676333,0.15939399053829437
logreg_taxonomy_only,baseline_intent_failed,6950,1738,0.8057528304815278,0.8487099799616157,0.8084722848129788,0.78,0.8391019644527596,0.17547518561232614
logreg_proxy_only,baseline_intent_failed,6950,1738,0.7950790101809244,0.8464451743106518,0.796594982078853,0.764402407566638,0.8316183348924229,0.17950821892538177
rf_proxy_only,baseline_intent_failed,6950,1738,0.7840716985406084,0.8344690102873387,0.7784986098239111,0.7713498622589532,0.7857811038353602,0.18364931903120907
rf_taxonomy_only,baseline_intent_failed,6950,1738,0.7555997880197606,0.8025973160342212,0.7541589648798521,0.7452054794520548,0.7633302151543498,0.22581503928170593
logreg_random_baseline,baseline_intent_failed,6950,1738,0.4921898705326493,0.6031845443578536,0.7616672604203776,0.6150747986191024,1.0,0.23715936446007613
rf_combined_no_interaction,finetuned_intent_failed,6950,1738,0.9152137700335191,0.8166392886062996,0.7472527472527473,0.7589285714285714,0.7359307359307359,0.09870579849124152
rf_combined_full,finetuned_intent_failed,6950,1738,0.9144453378387548,0.8133449755963041,0.7541345093715546,0.7685393258426966,0.7402597402597403,0.09824641989515408
rf_taxonomy_only,finetuned_intent_failed,6950,1738,0.8765495867768596,0.7453254904212002,0.7084708470847084,0.7203579418344519,0.696969696969697,0.12251632144227081
logreg_combined_no_interaction,finetuned_intent_failed,6950,1738,0.840966765731656,0.6979670037568273,0.581913499344692,0.7375415282392026,0.4805194805194805,0.1309609561958711
logreg_combined_full,finetuned_intent_failed,6950,1738,0.8409379283203734,0.6978438458634291,0.581913499344692,0.7375415282392026,0.4805194805194805,0.1309635298290683
logreg_taxonomy_only,finetuned_intent_failed,6950,1738,0.8242648156441259,0.6724457240187918,0.5816733067729084,0.7525773195876289,0.474025974025974,0.1365780663094298
logreg_proxy_only,finetuned_intent_failed,6950,1738,0.7067642388959005,0.5123395420294604,0.3295269168026101,0.6688741721854304,0.21861471861471862,0.17115060411255648
rf_proxy_only,finetuned_intent_failed,6950,1738,0.7033766912293559,0.4888165917936548,0.39882697947214074,0.6181818181818182,0.2943722943722944,0.17305114964839113
