transcript_source,n_samples,accuracy,precision_macro,recall_macro,macro_f1,top3_accuracy,mean_confidence,median_confidence
ground_truth,8688,0.8577348066298343,0.6967291513517281,0.7158408271925634,0.7031799241272774,0.9444060773480663,0.922548,0.9802012
baseline,8688,0.3848987108655617,0.4042426050461625,0.2839042744224388,0.3081803114857591,0.5156537753222836,0.73490137,0.8375623
finetuned,8688,0.7343462246777164,0.5728390201539871,0.5708677746788388,0.5554363408023376,0.8454189686924494,0.86101705,0.9686173
