model,calibration,brier,ece,mce,dataset
B,isotonic,0.006900945063412806,0.01942383187830651,0.29658976743304655,fsc
B,raw,0.023020510604162638,0.03685445910652857,0.630172856045759,fsc
B,sigmoid,0.0071882993112728595,0.020816156968927475,0.6172159291835653,fsc
C,isotonic,0.005587779379275571,0.011049618945750145,0.36363636363636365,fsc
C,raw,0.005585224243489469,0.008162404429211704,0.2633333333333333,fsc
C,sigmoid,0.006112920098400497,0.016853988206022526,0.6625367157901014,fsc
