signal,tau_descriptive,coverage,selective_risk,wrong_execution_rate,clarification_rate,dataset
asr_confidence,0.9397303640842437,0.8999769797421732,0.19158460161145927,0.17242173112338857,0.10002302025782683,slurp
intent_confidence,0.6154164671897886,0.8999769797421732,0.15283284307456196,0.13754604051565378,0.10002302025782683,slurp
voxintel_r_existing_risk,0.6166666666666667,0.9003222836095764,0.14766044489900282,0.13294198895027623,0.09967771639042355,slurp
