signal,coverage,selective_risk,wrong_execution_rate,clarification_rate,aurc
intent_confidence,0.9048246770366465,0.004079254079254079,0.003691009754811495,0.09517532296335351,0.002840012386615607
voxintel_r_risk_C,0.943316635908252,0.003353828954723309,0.0031637226469812814,0.05668336409174801,0.003102926830128294
asr_confidence,0.9451621407856577,0.0041841004184100415,0.003954653308726601,0.054837859214342255,0.004589954748982954
always_execute,1.0,0.006063801740047456,0.006063801740047456,0.0,0.006063801740047456
