subset,n_features,roc_auc,pr_auc,brier
A,9,0.6748241263983392,0.15443023012402787,0.006176406831297419
B,3,0.7312997347480107,0.17069790553906364,0.023020510604162638
C,12,0.7527793795409987,0.2284616564419712,0.005585224243489469
B_confidence_only,1,0.682810517818014,0.106228018947891,0.04174171882677982
B_entropy_only,1,0.7290854572713643,0.20628523674085686,0.02318719131870095
B_margin_only,1,0.7172932764387038,0.17247899310788506,0.041306830987255516
C_without_duration,11,0.7504497751124437,0.21543758477810476,0.005631159738699944
C_without_asr_entropy,9,0.7363452888940145,0.23565650008878855,0.0055658698772592784
C_without_asr_confidence,8,0.7411313573982239,0.2622948178738882,0.0056227055687377335
