signal,roc_auc,pr_auc,dataset
always_execute,,,slurp
asr_confidence,0.40656517706789264,0.19085932640228423,slurp
intent_confidence,0.1807459206575086,0.12755037908623137,slurp
voxintel_r_existing_risk,0.117385326780815,0.12130404923180405,slurp
